 	EN	CN	DE	FR	ES	JP	KO	TC
^link_event_01_content	After the suicide of Kapil Modi, founder of Defoss, reports circulated of poor management within the company. Shortly after the tragic event, Devos shut its doors. A competitor capitalized on the opportunity for market share, launching a rival drone delivery service. The endeavour won over investors by demonstrating the convenience and advantages of drone technology. \nThe WANT shopping website has completed testing on the drone delivery system. Shoppers are asked to install a drone delivery terminal at home. Going forward, all goods ordered online will be delivered by drone from a central distribution centre. Delivery time is expected to be in the range of several minutes. When approaching the delivery point, drones will use sound and light cues to signal arrival. The drone will then automatically access the at-home delivery terminal and return to the distribution centre. No actions are required on the part of the shopper.	　　据传在迪福斯创始人自杀后，公司管理陷入混乱，其对手公司趁机发布新的无人机产品计划，并勾勒了一副未来利用无人机为人们生活提供便利的美好画面，获得众多投资人的青睐。\n　　目前WANT购物网站已经试装无人机系统，用户只需要在家里安装无人机终端机，所有在WANT下单购买的物品都从配送中心统一发货，由无人机运送，在几分钟之内就可以配送到用户家中。无人机靠近的时候会有灯光和音乐提示，用户无需任何操作，无人机会自动打开窗帘并经由终端机送完货物，之后会自动飞回配送中心。						\n　　據傳在迪福斯創始人自殺後，公司管理陷入混亂，其對手公司趁機發佈新的無人機產品計畫，並勾勒了一副未來利用無人機為人們生活提供便利的美好畫面，獲得眾多投資人的青睞。\n　　目前WANT購物網站已經試裝無人機系統，用戶只需要在家裏安裝無人機終端機，所有在WANT下單購買的物品都從配送中心統一發貨，由無人機運送，在幾分鐘之內就可以配送到用戶家中。無人機靠近的時候會有燈光和音樂提示，用戶無需任何操作，無人機會自動打開窗簾並經由終端機送完貨物，之後會自動飛回配送中心。
^link_event_01_content2	\nThis technology is likely to solve the delivery dilemma. Plenty of residents have pre-ordered the terminal installation service, it’s likely to be a standard for every family in the city in the near future. \n(To find out more, check out indie puzzle game <Keyword> on Steam.)	\n　　此项技术将解决快递送货难题，许多家庭已经预约终端机的安装服务，相信不久后将成为每个家庭的标准配置。\n（以上新闻详情请前往Steam独立解密游戏《蛛丝诡迹》查阅）						\n　　此項技術將解決快遞送貨難題，許多家庭已經預約終端機的安裝服務，相信不久後將成為每個家庭的標準配置。\n（以上新聞詳情請前往Steam獨立解密遊戲《蛛絲詭跡》查閱）
^link_event_02_title	Wikipedia: CV of Guo Chen, Top Private Investigator	Wiki百科：私家侦探陈国个人履历						Wiki百科：私家偵探陳國個人履歷
^link_event_02_desc	Top Private investigator, Guo Chen, specializes in logical deduction, hacker technology and social engineering.  Chen now provides investigation services to individual and commercial clients. Open for consultation.	私家侦探——陈国，擅长逻辑演绎、黑客技术、社会工程等各项技能，从事民事商务事件调查服务，欢迎前来咨询。						私家偵探——陳國，擅長邏輯演繹、駭客技術、社會工程等各項技能，從事民事商務事件調查服務，歡迎前來諮詢。
^link_event_02_01	Private investigator	私家侦探						私家偵探
^link_event_02_02	Guo　Chen	陈　　国						陳國
^link_event_02_03	Born in Chongqing, China. Immigrated to Toronto, Canada.	重庆人，现移民到加拿大多伦多。						重慶人，現移民到加拿大多倫多。
^link_event_02_content	Private investigator. Individual or corporate cases only. Specialization in hacker technology and social engineering.  Will take care of business without leaving the house. \nExtreme social anxiety. Committed homebody. Prefers solitude. Offers investigation services, including personal cases, corporate espionage, and online information collection. Fees are high, but information is excellent quality and techniques are efficient.  \nFor all consultations, contact me at guochen@cityfromnaught.com or through the Holmes App. No phone calls, no office address, my camera will always be off during video chats. If this makes you uncomfortable, don’t contact me. To find out more, check out this indie puzzle game on Steam.\n\n(To find out more, check out indie puzzle game <Keyword> on Steam.)	　　私家侦探，只接受私人订单，擅长黑客技术和社会工程，足不出户把事办妥。\n　　有社交障碍，不爱出门，性格孤僻，调查业务范围包括个人调查，商业机密调查，网络跟踪。虽然价钱很贵，但是效果好质量高效率快。\n　　如有咨询都请通过邮箱guochen@cityfromnaught.com或Holmes App联系，没有电话，没有办公室，视频不开摄像头，若有顾虑请勿打扰。\n\n　　（以上新闻详情请前往Steam独立解密游戏《蛛丝诡迹》查阅）						　　私家偵探，只接受私人訂單，擅長駭客技術和社會工程，足不出戶把事辦妥。\n　　有社交障礙，不愛出門，性格孤僻，調查業務範圍包括個人調查，商業機密調查，網路跟蹤。雖然價錢很貴，但是效果好品質高效率快。\n　　如有諮詢都請通過郵箱guochen@cityfromnaught.com或Holmes App聯繫，沒有電話，沒有辦公室，視頻不開攝像頭，若有顧慮請勿打擾。\n　　（以上新聞詳情請前往Steam獨立解密遊戲《蛛絲詭跡》查閱）
^link_event_03_title	Missing Person Notice	失踪信息发布——寻人启事						失蹤資訊發佈——尋人啟事
^link_event_03_desc	My daughter Sala, 18 years old, is missing. If anybody has information on her whereabouts, please contact me. You’ll have my eternal gratitude and a cash reward.Father: Guo Chen.	爱女Sala，18岁，突然失踪，望知情者速与本人联系，不胜感激，必有重谢。父亲：陈国……						愛女Sala，18歲，突然失蹤，望知情者速與本人聯繫，不勝感激，必有重謝。父親：陳國……
^link_event_03_content	My daughter Sala, 18 years old, has been missing for three days. She’s a student at St. Carlei Secondary School. She was last seen alone in the Orbiseed parking lot in Toronto. \n(To find out more, check out indie puzzle game <Keyword> on Steam.)	　　爱女Sala，18岁，St. Carlei secondary school高中生，在多伦多失踪已经三天，最后一次有消息是在Orbiseed公司停车场出现，但是失踪当天并没有和任何朋友在一起。\n　　（以上新闻详情请前往Steam独立解密游戏《蛛丝诡迹》查阅）						　　愛女Sala，18歲，St. Carlei secondary school高中生，在多倫多失蹤已經三天，最後一次有消息是在Orbiseed公司停車場出現，但是失蹤當天並沒有和任何朋友在一起。\n\n　　（以上新聞詳情請前往Steam獨立解密遊戲《蛛絲詭跡》查閱）
^link_event_04_title	Data breach of superstar’s private information leads to police\n investigation	娱乐明星个人信息泄露事件引发的社会调查						娛樂明星個人資訊洩露事件引發的社會調查
^link_event_04_desc	In modern society, it is increasingly common for citizens to shun those outside of their social circles. At the same time, it seems that some people are willing to use illegal means to surveille those around them…	随着社会的发展，人际交流越来越少，更多的人把自己框定在自己的生活圈中，但似乎有一些人正使用着一些非常规手段，窥视着周围所有的人…						　　隨著社會的發展，人際交流越來越少，更多的人把自己框定在自己的生活圈中，但似乎有一些人正使用著一些非常規手段，窺視著周圍所有的人…
^link_event_04_content	In modern society, it is increasingly common for citizens to shun those outside of their social circles. At the same time, it seems that some people are willing to use illegal means to surveille those around them…\nThe police investigation revealed that criminal elements are spying on condo residents through building windows, using equipment such as binoculars to collect private information. Victims are then blackmailed. 	　　随着社会的发展，人际交流越来越少，更多的人把自己框定在自己的生活圈中，但似乎有一些人正使用着一些非常规手段，窥视着周围所有的人。\n据调查，有不法分子利用城市建筑大量使用的落地窗，通过望远镜偷窥他人隐私并进行敲诈勒索。						　　隨著社會的發展，人際交流越來越少，更多的人把自己框定在自己的生活圈中，但似乎有一些人正使用著一些非常規手段，窺視著周圍所有的人。\n　　據調查，有不法分子利用城市建築大量使用的落地窗，通過望遠鏡偷窺他人隱私並進行敲詐勒索。
^link_event_04_content2	Also, criminal groups are tracking victims’ movements over periods of time, breaking into their units when residents are away from home. The police are asking the building owners to provide effective security solutions. For example, installing anti-spy glass and curtains with auto-detection security features. The investigation has revealed that some residents have installed bulletproof glass in their windows to address safety concerns. \n(To find out more, check out indie puzzle game <Keyword> on Steam.)	　　也有犯罪团伙，通过长时间观察，了解房屋内部的人员活动情况，伺机进行入室盗窃等犯罪行为，警方呼吁建筑商要提供切实有效的解决方案，比如使用反偷窥玻璃或者自动关闭的窗帘等等。有许多安全意识更强一些的居民则将所有落地玻璃全部改装成防弹玻璃，确保人身安全。\n　　（以上新闻详情请前往Steam独立解密游戏《蛛丝诡迹》查阅）						　　也有犯罪團夥，通過長時間觀察，瞭解房屋內部的人員活動情況，伺機進行入室盜竊等犯罪行為，警方呼籲建築商要提供切實有效的解決方案，比如使用反偷窺玻璃或者自動關閉的窗簾等等。有許多安全意識更強一些的居民則將所有落地玻璃全部改裝成防彈玻璃，確保人身安全。\n（以上新聞詳情請前往Steam獨立解密遊戲《蛛絲詭跡》查閱）
^link_event_05_title	Sheriff Dwight is advising city residents to avoid going out in public alone due to the recent increase in violent crime.  	近期发生多起暴力犯罪，Dwight警长劝告市民夜晚尽量不要独自外出						近期發生多起暴力犯罪，Dwight警長勸告市民夜晚儘量不要獨自外出
^link_event_05_desc	Breaches in cybersecurity have led to large-scale social unrest.  Non-violent protests by residents, imploring officials to address the breaches, have been hijacked by activist groups protesting through violent means. The police have launched an investigation to find the groups responsible.	　　近期出现的网络安全问题已经越来越影响社会稳定，不少民众聚集在一起呼吁加强管理，同时一些激进者也将抗议活动升级至暴力犯罪。警方已经对背后的始作俑者展开调查…						　　近期出現的網路安全問題已經越來越影響社會穩定，不少民眾聚集在一起呼籲加強管理，同時一些激進者也將抗議活動升級至暴力犯罪。警方已經對背後的始作俑者展開調查…
^link_event_05_content	It is reported that a drug that is still in the experimental stage appeared in the city. It is said that taking it can cure the symptoms of Alzheimer's disease! However, this drug is somewhat addictive, And after eating for a period of time, But it will make a big change in human temperament and incoherent language! It even developed a series of violent behaviors to launch unprovoked and indiscriminate attacks on people around them, The public security situation has taken a turn for the worse! The rise of drones has also made the transaction of such drugs very difficult to track.\nThe police also urged the general public to try not to go out alone at night.\n(To find out more, check out indie puzzle game <Keyword> on Steam.)	　　据悉，城市中出现了一种尚在试验阶段的药物，据说服用它可以治愈阿尔兹海默症的症状！然而，这种药物具有一定成瘾性，并且在食用一段时间后，却会使人性情大变，语无伦次！甚至发展出一系列暴力行为对身边的人无端发起无差别攻击，社会治安状况急转直下！而无人机的兴起也使得这种药品的交易非常难以追踪。\n　　警方也呼吁广大市民夜晚尽量不要独自外出。\n（以上新闻详情请前往Steam独立解密游戏《蛛丝诡迹》查阅）						　　據悉，城市中出現了一種尚在試驗階段的藥物，據說服用它可以治癒阿爾茲海默症的症狀！然而，這種藥物具有一定成癮性，並且在食用一段時間後，卻會使人性情大變，語無倫次！甚至發展出一系列暴力行為對身邊的人無端發起無差別攻擊，社會治安狀況急轉直下！而無人機的興起也使得這種藥品的交易非常難以追蹤。\n　　警方也呼籲廣大市民夜晚儘量不要獨自外出。\n（以上新聞詳情請前往Steam獨立解密遊戲《蛛絲詭跡》查閱）
^link_event_06_title	☆☆☆Redeem yourself in Keyword☆☆☆	☆☆☆在蛛丝诡迹中救赎自己☆☆☆						☆☆☆在蛛絲詭跡中救贖自己☆☆☆
^link_event_06_desc	Only your instincts can tell you where the boundary between reality and the game lies.Follow the Keyword. Get lost in cycles of time, shatter your illusions, and find your true self.	到底现实与游戏的界限在哪里，直觉将引导前进。沿着蛛丝诡迹，迷失在时间的轮回，突破幻觉，寻回自己。						到底現實與遊戲的界限在哪里，直覺將引導前進。沿著蛛絲詭跡，迷失在時間的輪回，突破幻覺，尋回自己。
^link_event_06_content1	He was trapped in a hellish cycle of eternal reincarnation. Was it for the crime of preventing the discovery of a cure for Alzheimer’s disease? Or was it for the countless people he allowed to suffer from illness? \nHe was cast into hell for his crimes, destined to suffer the loss of loved ones for all eternity. Help him stop the cycle. Only you can rescue his true love and break his karmic cycle.	　　他被困在了一个永远轮回的地狱里面，是因为他害死了某人，中断了阿兹海默综合症的研发？又或者是因为他导致很多普通人遭受病痛的折磨？所以他在地狱中受到了惩罚，一次又一次受到失去他最爱的人。帮助他跳出这个轮回，救出他最爱的人，只有你才能做到这一切，彻底解脱轮回的地狱。						　　他被困在了一個永遠輪回的地獄裏面，是因為他害死了某人，中斷了阿茲海默綜合症的研發？又或者是因為他導致很多普通人遭受病痛的折磨？所以他在地獄中受到了懲罰，一次又一次受到失去他最愛的人。幫助他跳出這個輪回，救出他最愛的人，只有你才能做到這一切，徹底解脫輪回的地獄。
^link_event_06_content	He was trapped in a hellish cycle of eternal reincarnation. Was it for the crime of preventing the discovery of a cure for Alzheimer’s disease? Or was it for the countless people he allowed to suffer from illness? \nHe was cast into hell for his crimes, destined to suffer the loss of loved ones for all eternity. Help him stop the cycle. Only you can rescue his true love and break his karmic cycle.	　　他被困在了一个永远轮回的地狱里面，是因为他害死了某人，中断了阿兹海默综合症的研发？又或者是因为他导致很多普通人遭受病痛的折磨？所以他在地狱中受到了惩罚，一次又一次受到失去他最爱的人。帮助他跳出这个轮回，救出他最爱的人，只有你才能做到这一切，彻底解脱轮回的地狱。						　　他被困在了一個永遠輪回的地獄裏面，是因為他害死了某人，中斷了阿茲海默綜合症的研發？又或者是因為他導致很多普通人遭受病痛的折磨？所以他在地獄中受到了懲罰，一次又一次受到失去他最愛的人。幫助他跳出這個輪回，救出他最愛的人，只有你才能做到這一切，徹底解脫輪回的地獄。
^link_event_06_content2	(To find out more, check out indie puzzle game <Keyword> on Steam.)	　　（以上新闻详情请前往Steam独立解密游戏《蛛丝诡迹》查阅）						　　（以上新聞詳情請前往Steam獨立解密遊戲《蛛絲詭跡》查閱）
^URL_link_01	https://www.CityFromNaught.com/keyword	https://www.CityFromNaught.com/keyword						https://www.CityFromNaught.com/keyword
^txt_newsTitle0101	Lisa Snyder hired a legal team to issue a statement.	Lisa Snyder聘请律师团队发声						Lisa Snyder聘請律師團隊發聲
^txt_newsTitle0102	Defoss founder Kapil Modi committed suicide and left a note claiming extortion by former wife involving millions	迪福斯创始人Kapil Modi自杀，留遗书称遭前妻勒索千万						迪福斯創始人Kapil Modi自殺，留遺書稱遭前妻勒索千萬
^txt_newsTitle0103	The biggest data breach in the past two years.	两年来最严重的信息泄露事件						兩年來最嚴重的資訊洩露事件
^txt_newsTitle0104	Big Data successfully predicted the outbreak of swine flu.	大数据成功预测猪流感爆发						大數據成功預測豬流感爆發
^txt_newsTitle0105	The world is suffering from a new round of ransomware attacks.	全球遭受新一轮勒索病毒攻击						全球遭受新一輪勒索病毒攻擊
^txt_pwtitle	Choose target information to generate the password:	选择目标足够的信息生成密码：						選擇目標足夠的資訊生成密碼：
^txt_acc	Accuracy:	精准度：						精准度：
^txt_pwerror	Generation failed. Please re-select the target information	密码错误 请重新选择目标信息						密碼錯誤 請重新選擇目標資訊
^txt_fishdialog1	Generate a phishing link for hacking:	生成钓鱼链接入侵对方计算机：						生成釣魚鏈接入侵對方計算機：
^txt_fishdialog2	Generate Phishing Link	生成链接						生成鏈接
^txt_fishdialog3	Please drop the right clue	放入合适线索						放入合適線索
^txt_fishdialog4	Generated clues:	已生成线索：						已生成線索：
^txt_fishdialog5	Regenerate	重新生成						重新生成
^txt_fishdialog6	Send Phishing Link	匿名发送						匿名發送
^txt_fishdialog8-1	Obtaining administrator access from the target computer	正在获取对方计算机权限						正在獲取對方計算機權限
^txt_fishdialog8-2	Obtaining root access from the target computer	正在获取对方手机权限						正在獲取對方手機權限
^txt_fishdialog8-3	Hacking the target phone ...	入侵对方手机中...						入侵對方手機中...
^txt_fishdialog8-4	Hacking the target computer ...	入侵对方计算机中...						入侵對方計算機中...
^txt_fishdialog9	Hacking successful.	入侵成功！						入侵成功！
^txt_fishdialog10	Hacking failed. Link closed	入侵失败！对方已关闭链接！						入侵失敗！對方已關閉鏈接！
^txt_checkfile	Scan Files	查看文档						查看文檔
^txt_fishdialog11	Target user is browsing	对方正在浏览中						對方正在瀏覽中
^txt_scandialog01	Scanning information	信息扫描中						資訊掃描中
^txt_scandialog02	Please drop the picture for analysis	放入图片进行分析						放入圖片進行分析
^txt_inbox	Inbox	收件箱						收件箱
^txt_outbox	Sent	发件箱						發件箱
^txt_bin	Trash	垃圾箱						垃圾箱
^txt_reply	Reply	回复						回複
^txt_hobby01	Movies, Delicious Food	电影、美食						電影、美食
^txt_profession01	Undergraduate	大学生						大學生
^txt_birth01	01.05.1990	1990.01.05						1990.01.05
^txt_sign0101	That's sad, but you are a brave girl and will find true love one day.	太可怜了，但是你是个勇敢的女孩，你会得到幸福的。						太可憐了，但是你是個勇敢的女孩，你會得到幸福的。
^txt_sign0102	Cheer up! You must not let the man who committed domestic violence haunt you.	振作起来，尽快从家暴男的阴影里走出来。						振作起來，盡快從家暴男的陰影裏走出來。
^txt_sign0103	Objectively, both sides hold their own words, and it is very difficult to tell who is lying.	客观来说……两人各执一词，很难判断出到底谁在撒谎。						客觀來說……兩人各執一詞，很難判斷出到底誰在撒謊。
^txt_sign0104	Let me give you a hug. Cheer up.	抱抱你，重新振作起来吧。						抱抱你，重新振作起來吧。
^txt_sign0105	You showed us the real demon.	你让我们看到了真实的恶魔						你讓我們看到了真實的惡魔
^txt_sign0106	Hey old buddy, this is Walker. Remember?  I have heard about your situation. Call me anytime at 021-498-4937 if you need help	嘿，老同学，我是Walker，还记得吗？看到了你的遭遇，如果需要帮助随时打给我：021-498-4937						嘿，老同學，我是Walker，還記得嗎？看到了你的遭遇，如果需要幫助隨時打給我：021-498-4937
^txt_sign0107	Go to hell!  Even God won't forgive you!	去死吧，家暴男！上帝可不会收留你，见鬼去吧！						去死吧，家暴男！上帝可不會收留你，見鬼去吧！
^txt_sign0108	Haha, isn’t it embarrassing that no one is stopping you from jumping off the building?  Cut this act.	哈哈，没人拦着你会不会很尴尬，别演戏了兄弟。						哈哈，沒人攔著你會不會很尷尬，別演戲了兄弟。
^txt_sign0109	So much talking. Why don't you just jump, and we will call an ambulance for you.	你的话真多，跳楼去吧，我们帮你叫救护车。						你的話真多，跳樓去吧，我們幫你叫救護車。
^txt_sign0110	Isn't this Mr. Modi the CEO of Defoss?  10 million euros should be nothing for him, right?	这位Modi先生不是迪福斯公司的CEO么？那1000万对他来说还不至于一无所有吧？						這位Modi先生不是迪福斯公司的CEO麼？那1000萬對他來說還不至於一無所有吧？
^txt_sign0111	Then you should just take your own life.	那你赶紧以死明志啊						那你趕緊以死明志啊
^txt_sign0112	You who are not pure dare to judge your wife? Disgusting!	自己不干净还往妻子身上泼脏水，恶心！						自己不幹淨還往妻子身上潑髒水，惡心！
^txt_sign0113	You are your wife's nightmare!	你就是你妻子的噩梦						你就是你妻子的噩夢
^txt_sign0114	What's the point of talking so much? If it is true, why don't you call the police?	说这么多什么用？真委屈你去报警啊						說這麼多什麼用？真委屈你去報警啊
^txt_sign0115	I believe you are innocent. Be strong!	我相信你是无辜的，撑住啊！						我相信你是無辜的，撐住啊！
^txt_sign0116	Let your wife go. That would count as a good deed.	放过你妻子吧，也算是你做一件好事						放過你妻子吧，也算是你做一件好事
^txt_sign0119	Just 4 months, and you already showed your true face.	才4个月，你就漏出了真实的嘴脸						才4個月，你就漏出了真實的嘴臉
^txt_sign0120	Stop fooling us, you liar!	别假惺惺的了！做作，恶心						別假惺惺的了！做作，惡心
^txt_sign0121	I believe you used to be a good man.	我相信你曾经也是一个好男人						我相信你曾經也是一個好男人
^txt_sign0124	You won't even admit that you are in a relationship. No one will believe you.	恋爱都不敢承认，大家不相信你是正确的						戀愛都不敢承認，大家不相信你是正確的
^txt_sign0125	The restaurant looks fancy. Is this how you get women to fall for you? Bastard	餐厅看起来很高档，很舍得花钱嘛，渣男						餐廳看起來很高檔，很捨得花錢嘛，渣男
^txt_sign0126	Eating, travelling, all old tricks.	吃饭，旅行，都是老套路了						吃飯，旅行，都是老套路了
^txt_sign0127	Hahaha... you certainly aim high	哈哈哈……你的眼光很高啊。						哈哈哈……你的眼光很高啊。
^txt_sign0128	The recommended girl is very good!	推荐的女孩很不错！						推薦的女孩很不錯！
^txt_sign0129	You are still helping this demon. How dare you!	居然还在帮恶魔说话，看来你也不是一个好东西						居然還在幫惡魔說話，看來你也不是一個好東西
^txt_sign0130	Still dare to speak? Guess you guys are real friends.	这时候还敢发声，看来你是他的真心好友						這時候還敢發聲，看來你是他的真心好友
^txt_sign0131	Believe me. Both of them are bad guys.	相信我，夫妻俩人都不是什么好人						相信我，夫妻倆人都不是什麼好人
^txt_sign0132	I am sorry about your friend. Rest in peace.	为你的好朋友默哀，祝好						為你的好朋友默哀，祝好
^txt_sign0133	Forget it! No one will believe what you said.	算了吧，你说的这些没人会相信的						算了吧，你說的這些沒人會相信的
^txt_sign0134	Partner of a fraudulent company?	骗子公司的合伙人？						騙子公司的合夥人？
^txt_sign0135	Yes, it is really soothing, but it seems to be available only on GrooMusic.	是呀真的很治愈，但好像只有GrooMusic能听						是呀真的很治癒，但好像只有GrooMusic能聽
^txt_sign0136	Yes, and it's exclusive.	是的，而且是独家。						是的，而且是獨家。
^txt_nickname0101	Guest5699	匿名访客56995						匿名訪客56995
^txt_nickname0102	Guest6145	匿名访客61451						匿名訪客61451
^txt_nickname0103	Guest1478	匿名访客14785						匿名訪客14785
^txt_nickname0104	Guest2552	匿名访客25524						匿名訪客25524
^txt_nickname0105	Guest1259	匿名访客12593						匿名訪客12593
^txt_nickname0106	Walker_DF	Walker_DF						Walker_DF
^txt_nickname0107	Guest5744	匿名访客57446						匿名訪客57446
^txt_nickname0108	Guest8561	匿名访客85617						匿名訪客85617
^txt_nickname0109	Guest6549	匿名访客65497						匿名訪客65497
^txt_nickname0110	Guest1125	匿名访客112589						匿名訪客112589
^txt_nickname0111	Guest5897	匿名访客58978						匿名訪客58978
^txt_nickname0112	Guest8741	匿名访客8741						匿名訪客8741
^txt_nickname0113	Guest6511	匿名访客6511						匿名訪客6511
^txt_nickname0114	Guest1248	匿名访客12486						匿名訪客12486
^txt_nickname0115	Guest1599	匿名访客1599						匿名訪客1599
^txt_nickname0116	Guest4582	匿名访客4582						匿名訪客4582
^txt_nickname0117	Guest2447	匿名访客2447						匿名訪客2447
^txt_nickname0118	Guest2114	匿名访客2114						匿名訪客2114
^txt_nickname0119	Guest5749	匿名访客5749						匿名訪客5749
^txt_nickname0120	Guest1879	匿名访客1879						匿名訪客1879
^txt_nickname0121	Guest3652	匿名访客3652						匿名訪客3652
^txt_nickname0122	Guest1488	匿名访客1488						匿名訪客1488
^txt_nickname0123	Guest5478	匿名访客5478						匿名訪客5478
^txt_nickname0124	Guest1149	匿名访客1149						匿名訪客1149
^txt_nickname0125	Guest5447	匿名访客5447						匿名訪客5447
^txt_nickname0126	Guest9548	匿名访客9548						匿名訪客9548
^txt_nickname0127	Guest6522	匿名访客6522						匿名訪客6522
^txt_nickname0128	Guest8874	匿名访客8874						匿名訪客8874
^txt_nickname0129	Guest8899	匿名访客8899						匿名訪客8899
^txt_nickname0130	Guest2568	匿名访客2568						匿名訪客2568
^txt_nickname0131	Guest5219	匿名访客5219						匿名訪客5219
^txt_nickname0132	Guest8758	匿名访客8758						匿名訪客8758
^txt_nickname0133	Guest92157	匿名访客92157						匿名訪客92157
^txt_nickname0134	Guest2589	匿名访客2589						匿名訪客2589
^txt_nickname0135	Guest1489	匿名访客1489						匿名訪客1489
^txt_nickname0136	Guest2358	匿名访客2358						匿名訪客2358
^txt_nickname0137	Guest647955	匿名访客647955						匿名訪客647955
^txt_nickname0138	Guest6658	匿名访客6658						匿名訪客6658
^txt_nickname0139	Guest7445	匿名访客7445						匿名訪客7445
^txt_nickname0140	Guest54475	匿名访客54475						匿名訪客54475
^txt_nickname0141	Guest6992	匿名访客6992						匿名訪客6992
^txt_nickname0142	Guest7498	匿名访客7498						匿名訪客7498
^txt_nickname0143	Guest1748	匿名访客1748						匿名訪客1748
^txt_nickname0144	Guest56676	匿名访客56676						匿名訪客56676
^txt_nickname0145	Guest4114	匿名访客4114						匿名訪客4114
^txt_nickname0146	Guest8614	匿名访客8614						匿名訪客8614
^txt_nickname0147	Guest6678	匿名访客6678						匿名訪客6678
^txt_nickname0205	Guest0205	匿名访客0205						匿名訪客0205
^txt_social01	{0:S}Comment   {1:S}Share	{0:S}条评论   {1:S}次分享						{0:S}條評論   {1:S}次分享
^mail_sender	Sender	发送人姓名						發送人姓名
^mail_geter	Recipient	收件人姓名						收件人姓名
^mail_titleKey	Subject:	主题：						主題：
^mail_geterKey	To:	收件人：						收件人：
^mail_annex	Attachment:	附件：						附件：
^mail_sendBtn	Send	发送						發送
^mail_senderKey	From:	发件人：						發件人：
^title_event0001	TC191丨Toothbook	TC191丨Toothbook						TC191丨Toothbook
^title_event0002	TOM-5A Air Powered Water Heater. Enjoy warmth even at -30 Celsius!	TOM-5A 空气能热水器 零下30度产热水						TOM-5A 空氣能熱水器 零下30度產熱水
^title_event0003	Tom Fred lipstick with a new color - Product promotion	Tom Fred 最新单色口红 - 商品推进						Tom Fred 最新單色口紅 - 商品推進
^title_event0004	tom191 updates - tom191 related videos	tom191空间动态-tom191相关视频						tom191空間動態-tom191相關視頻
^title_event0101	Imeet - Meet your true love right now - Lisa Snyder	Imeet，遇到真爱，就是现在——LisaSnyder						Imeet，遇到真愛，就是現在——LisaSnyder
^title_event0102	SweetLisa丨Toothbook	SweetLisa丨Toothbook						SweetLisa丨Toothbook
^title_event0103	Modi_Programmer丨Toothbook	Modi_Programmer丨Toothbook						Modi_Programmer丨Toothbook
^title_event0104	Lisa Snyder's legal team issued a legal statement.	Lisa Snyder聘请律师团队发声						Lisa Snyder聘請律師團隊發聲
^title_event0105	Defoss founder Kapil Modi committed suicide.	迪福斯创始人Kapil Modi自杀，留遗书称遭前妻勒索千万						迪福斯創始人Kapil Modi自殺，留遺書稱遭前妻勒索千萬
^title_event0106	Defoss Network Technology	Defoss Network Technology						Defoss Network Technology
^title_event0107	Carter Harris shared folder丨TwoDrive	Carter Harris分享的文档丨TwoDrive						Carter Harris分享的文檔丨TwoDrive
^title_event0108	Daniel_K丨Toothbook	Daniel_K丨Toothbook						Daniel_K丨Toothbook
^title_event0109	Tim Snyder - Witapedia	Tim Snyder - 维他百科						Tim Snyder - 維他百科
